Categories ,Description & Requirements (Who we are & Job Summary),Job Summary,Key Responsibilities of the Job:,"Job Requirements: (Eligibility, Availability, Skills and Experiences;)",Preferred but  not essential,Benefits and Perks
,"As we continue our lightning-fast growth,‌ two things are essential to continuing our success: our people and our culture.","You’ll start your journey regionally focused, gaining exposure to diverse marketing campaigns and contributing to adapting them to local markets.",Maintain detailed records of every interaction with prospective students using our CRM system while promoting its use inside the Marketing.,Extensive experience using Microsoft Project.,Demonstrated strength in prioritizing work is preferred.,You will receive a competitive salary according to your experience.
,"So far, we have 10,000+ people working around the world, from our great offices or remotely, on our mission.","This position is focused on leveraging both paid and organic social media strategies to enhance our B2B presence, primarily on LinkedIn.","Handling Facebook, TikTok and other online leads and providing necessary guidance for University admission.",Ability to produce high-quality written documentation including proposals and status reports which demonstrate confidence in calculating costs and margins.,Exceptional attention to detail is highly desirable.,Promotion from within policy.
,"We are working with 100+ Higher Education institutions in the UK, including top Universities and colleges.","The successful candidate will be responsible for advising prospective EU & Home students about their study options, focusing on converting these prospects into students while also providing excellent customer service to current students.","We are also open to hiring technical generalists with a background spanning many of these areas, as well as threat intelligence experts with a focus on researching novel cyber security risks from advanced AI systems.",A minimum GPA of 60% (UK) or 8/10 in any other country.,A customer service-focused approach with the ability to work collaboratively with others is preferred.,Employee Assistance Program.
,We are an award-winning organisation in London for student recruitment.,This position requires someone highly motivated and driven to achieve conversion targets.,Apply exceptional judgment to organize and prioritize across a complex global organization.,A graduate degree from a top university.,Strong verbal and written communication skills and the ability to communicate effectively with all levels are highly valued.,"Excellent benefits package including company pension, holiday pay, discounts at major retailers (e.g. Apple, cinemas) and attractions (e.g. Alton Towers, The London Eye) and many more."
,"We have a remarkable heritage and we are growing particularly in our airports, hospitals, rail stations and motorway services.","As a Sales Assistant you’ll provide exceptional customer service and work independently or as part of a team to deliver our fantastic store standards. We want you, our customers, and our colleagues to be proud to share their journey with us.",Delivering an exceptional customer service to all our customers.,Criminal Records Bureau Check – to be completed if your application is successful,Ability to convert patients into care (We can train on this),"As well as your salary, pension scheme, paid annual leave and employee discounts. we’ll reward you with a range of deals from retail partners that will help you save money and make memories, whether a delicious meal, an adventurous day out, or tickets to see the latest blockbuster."
,"Our aim is simple, to offer our products to everyone on any of life’s journeys.",You will join a team of therapists who are experts at what they do. You will be providing professional advice and beauty treatments for our customers to ensure they have the best in-store experience.,"Carrying out stock replenishment, ensuring all areas of the store remain tidy and inviting for our customers to shop.",Photographic ID i.e. passport or UK Driving Licence,Previously worked in the private healthcare sector,"Whatever the future brings, our Employee Assistance Programme will support you with help and guidance for your wellbeing whether physical, mental or financial."
,"That’s why, as we continue our journey, our aim is simple: to make every one of life’s journeys better!",We are currently recruiting for an experienced Osteopath to join a leading Multi-Disciplinary Private Healthcare Clinic in Central London.,Meeting high standards of display and visual merchandising helping customers find what they're looking for easily.,A passion for customers having an exceptional experience in store.,Prior experience is preferred but not essential as training will be provided,A competitive salary
,"We are proud to be an inclusive employer, we want our colleagues to feel welcome, and free to be themselves with us.","As an Osteopath you will be responsible for providing a high standard of assessment, diagnosis, evaluation, treatment and advice to private patients.",Being part of a team and supporting colleagues.,Confident in communicating within the team.,lettings or property management experience,Up to 28 days holiday
,"With Beauty Studios located in over 400 of our stores, we offer treatments from brows to nails to lashes and have partnered with professional brands such as Orly, Studex, Lash Perfect & Eyelash Emporium. We are looking for passionate therapists to join Superdrug to deliver outstanding services to our customers.",As a key member of our Spa & Wellness team we are looking for a therapist to ensure that all guests are looked after and can offer a tailored experience for each type of guest.,Undertake a comprehensive assessment and formulate a diagnosis of patients who may have complex conditions including multi pathology.,Motivated to achieve fantastic results and standards.,residential sales experience or sales experience in another sector,"Amazing discounts - Up to 30% discount at Superdrug for you and a nominated friend, complimentary nail treatments, and competitions throughout the year – prizes include photoshoot attendance (model preparation), ORLY hampers, Love2Shop vouchers and team nights out"
,we offer somewhere you can grow while you’re making a lasting difference to people’s lives.,"The Manager is responsible for lettings and dealing with residential sales enquiries, which are passed on to a specialist residential sales team.",Use well developed clinical reasoning of the patient's needs and provide clinic treatment.,Adaptable to meet company requirements and goals.,Bachelor’s degree (or equivalent) in Marketing or related field,Professional inhouse training with our brand partners
,"We are Britain's leading provider of independent healthcare with a nationwide network of hospitals & clinics, performing more complex surgery than any other private healthcare provider in the country.","This role focuses on generating new business, managing key commercial relationships, identifying and cultivating new alliance and reseller opportunities, and overseeing the onboarding process of new resellers.",Provide massage services for new patients to help build a private clinics list,"Possess, NVQ 2 in beauty Therapy or equivalent",7+ years working for a B2B SaaS start-up/scale-up with a proven track record in B2B sales,Attendance to our annual Beauty Studio conference
,"Our culture is a result of the way our people live and breathe our philosophy, which combines our purpose, principles and values.","The ideal candidate will demonstrate expertise in relationship management, sales enablement, and developing strategic partnerships.","To work as an autonomous practitioner taking responsibility for the management of patients  on own caseload without direct supervision.",A desire to exceed customers' expectations,"able to demonstrate sales (with an ACV of £100k+), ideally selling to employee benefits/HR teams",Enhanced company sick pay and pregnancy loss and support
,"It’s another world; an oasis of calm in the heart of the city, with the most attentive service. A world that’s all about our guests.",We are looking for an experienced and competent Registered Manager to oversee our domiciliary care service during the owner's maternity leave.,"Maintain patient documentation, records and accurate statistical information to reflect care  provided and to meet professional standards and clinic policies.",Confident in approaching customers and upselling services and products,"able to demonstrate significant experience in defining, developing and delivering GTM strategies that have resulted in substantial revenue growth of £1m+ ARR","We want you to love coming to work, feeling healthy, happy and valued. That’s why we’ve developed a benefits package with you in mind."
,"Corporate responsibility values are deeply ingrained in our company’s culture, and sustainability implications are carefully considered with every decision across the Group, aligning our sustainable development efforts with the industry criteria set by the Global Sustainable Tourism Council.",The ideal candidate will have extensive experience in domiciliary care and the ability to manage a service with approximately 90 clients and 45 staff members.,Connect with and motivate members to reach their fitness goals and maintain a healthier lifestyle,Passionate about all thing's beauty,"able to evidence managing the end-to-end sales process; growing leads, managing deals and successfully closing the sales pipeline","From free gym membership to physiotherapy, private healthcare, financial wellbeing advice and more."
